Striped Warp Reduction (kernel reduction - cooperation number = 8),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.107712
0.10832
0.105344
0.107296
0.108384
0.106592
0.107392
0.106496
0.1064
0.106496
