Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.038944
0.036864
0.036864
0.037888
0.03696
0.036896
0.037888
0.036864
0.036864
0.036864
