Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.04704
0.045056
0.044928
0.045056
0.044032
0.044032
0.045056
0.044032
0.047104
0.045056
