Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.034592
0.033792
0.033792
0.033792
0.033792
0.033792
0.033792
0.033792
0.033792
0.033792
