Striped Warp Reduction (kernel reduction - cooperation number = 8),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.069696
0.067392
0.067488
0.068512
0.068608
0.073888
0.069632
0.068608
0.068736
0.069632
