Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.038176
0.036864
0.036992
0.03584
0.036864
0.036736
0.03584
0.03584
0.03584
0.036864
