Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,32,32,32,32768,Dot,vanilla_version
0.033312
0.024576
0.027648
0.024576
0.024576
0.024608
0.024576
0.024576
0.024576
0.024576
