Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.04864
0.04624
0.04608
0.04608
0.04704
0.046304
0.045888
0.04608
0.047104
0.048064
