Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.184928
0.185312
0.18528
0.185344
0.18432
0.18432
0.185344
0.18432
0.18432
0.18432
