Striped Warp Reduction (kernel reduction - cooperation number = 8),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.036
0.033792
0.034688
0.033792
0.033792
0.033792
0.033792
0.033792
0.033792
0.033664
