Striped Warp Reduction (kernel reduction - cooperation number = 16),41-44,3d_27pt,32,32,32,32768,Dot,vanilla_version
0.031008
0.029696
0.028672
0.029696
0.028672
0.028672
0.028672
0.028672
0.028672
0.027648
