Striped Warp Reduction (kernel reduction - cooperation number = 16),41-44,3d_27pt,24,24,24,13824,Dot,vanilla_version
0.016448
0.01536
0.015328
0.014336
0.015232
0.015296
0.014336
0.014336
0.01536
0.015296
