Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.064736
0.063424
0.06336
0.063488
0.062464
0.062464
0.062464
0.063488
0.062464
0.062464
