Striped Warp Reduction (kernel reduction - cooperation number = 64),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.180672
0.177152
0.187392
0.178176
0.178176
0.178176
0.178176
0.178208
0.178176
0.177248
