Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.030944
0.028672
0.036864
0.028672
0.028672
0.028544
0.028672
0.028672
0.02864
0.028672
