Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,24,24,24,13824,Dot,vanilla_version
0.02656
0.0256
0.024576
0.0256
0.0256
0.025568
0.024576
0.024576
0.024576
0.0256
