Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.0352
0.032768
0.032768
0.034816
0.031776
0.033856
0.032768
0.032768
0.033696
0.032768
