Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.229984
0.232448
0.22832
0.229376
0.227328
0.22528
0.226304
0.226272
0.226528
0.227328
