Striped Warp Reduction (kernel reduction - cooperation number = 16),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.037056
0.034848
0.034816
0.034816
0.034816
0.033792
0.034816
0.034816
0.034752
0.033792
