Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,32,32,32,32768,Dot,vanilla_version
0.032704
0.024576
0.024576
0.024576
0.02448
0.024576
0.024576
0.023552
0.024576
0.024576
