Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,24,24,24,13824,Dot,vanilla_version
0.015584
0.0144
0.01536
0.014336
0.014336
0.014336
0.014336
0.014432
0.014336
0.01536
