Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.027456
0.03072
0.0256
0.0256
0.025568
0.0256
0.0256
0.0256
0.0256
0.0256
