Striped Warp Reduction (kernel reduction - cooperation number = 64),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.051168
0.049152
0.049024
0.048128
0.048128
0.048128
0.048128
0.048224
0.048128
0.048128
