Striped Warp Reduction (kernel reduction - cooperation number = 16),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.03024
0.028672
0.028608
0.028672
0.028672
0.028672
0.028672
0.028672
0.028704
0.028672
