Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.012992
0.012288
0.012288
0.012288
0.012288
0.013184
0.012288
0.012288
0.012288
0.011264
