Striped Warp Reduction (kernel reduction - cooperation number = 64),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.05136
0.0512
0.0512
0.050176
0.050176
0.050176
0.0512
0.050176
0.050176
0.0512
