Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,128,64,64,524288,Dot,vanilla_version
0.041216
0.038912
0.039936
0.038912
0.038912
0.038912
0.038784
0.037888
0.038912
0.037888
