Striped Warp Reduction (kernel reduction - cooperation number = 64),41-44,3d_27pt,64,64,64,262144,Dot,vanilla_version
0.046112
0.043136
0.044032
0.043104
0.044032
0.044
0.043936
0.044032
0.044032
0.044032
