Striped Warp Reduction (kernel reduction - cooperation number = 64),41-44,3d_27pt,32,32,32,32768,Dot,vanilla_version
0.021728
0.02048
0.02048
0.02048
0.021408
0.020448
0.019456
0.021504
0.02048
0.020448
