Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,24,24,24,13824,Dot,vanilla_version
0.025984
0.024576
0.024576
0.024576
0.024576
0.023552
0.024576
0.024576
0.024576
0.023552
