Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.051904
0.050304
0.050976
0.050176
0.050176
0.050176
0.050176
0.0512
0.050176
0.050176
