Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.066144
0.064512
0.063488
0.064384
0.063488
0.063488
0.063488
0.064512
0.064512
0.063584
