Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.026112
0.025472
0.024576
0.023552
0.023552
0.024576
0.024576
0.02368
0.023552
0.024576
