Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.108832
0.10752
0.10752
0.10752
0.10752
0.108544
0.10672
0.108384
0.108352
0.10752
