Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,256,128,128,4194304,Dot,vanilla_version
0.104448
0.102528
0.103424
0.1024
0.1024
0.1024
0.103296
0.103424
0.10336
0.1024
