Striped Warp Reduction (kernel reduction - cooperation number = 4),41-44,3d_27pt,8,8,8,512,Dot,vanilla_version
0.012
0.011264
0.011264
0.011264
0.0112
0.01024
0.011264
0.011264
0.011264
0.011264
