Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,8,8,8,512,Dot,vanilla_version
0.013856
0.011264
0.011264
0.01024
0.011264
0.011264
0.011264
0.01024
0.01024
0.011264
