Striped Warp Reduction (kernel reduction - cooperation number = 2),41-44,3d_27pt,16,16,16,4096,Dot,vanilla_version
0.026496
0.024576
0.024576
0.023584
0.024576
0.024544
0.023552
0.023584
0.023648
0.026624
