Striped Warp Reduction (kernel reduction - cooperation number = 1),41-44,3d_27pt,256,256,128,8388608,Dot,vanilla_version
0.337856
0.335872
0.335872
0.335872
0.335872
0.335872
0.334848
0.335872
0.334848
0.335872
