Striped Warp Reduction (kernel reduction - cooperation number = 16),41-44,3d_27pt,8,8,8,512,Dot,vanilla_version
0.012416
0.012192
0.01024
0.01024
0.011264
0.0112
0.01024
0.01024
0.0112
0.011264
