Striped Warp Reduction (kernel reduction - cooperation number = 8),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.047296
0.04608
0.04608
0.04608
0.045984
0.04608
0.045056
0.0512
0.046016
0.045056
