Striped Warp Reduction (kernel reduction - cooperation number = 32),41-44,3d_27pt,32,32,32,32768,Dot,vanilla_version
0.021312
0.02048
0.021376
0.02048
0.022496
0.02048
0.02048
0.020352
0.019456
0.019552
