Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
21.0913
21.0553
21.0141
21.0211
21.0397
20.8008
20.9949
21.0363
21.0237
20.8242
