Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.319
95.3022
95.4456
94.9359
94.8348
95.3536
95.5708
95.3486
95.4795
95.5126
