Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1094.63
1094.83
1093.81
1094.58
1095.87
1095.62
1095.36
1095.62
1095.77
1096.52
