Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version
7135.41
7134.14
7137.52
7135.8
7121.58
7136.47
7136.58
7136.32
7136.75
7135.85
