Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version
15.0497
14.8503
14.9132
14.8747
14.8662
14.8699
14.9161
14.8771
14.8455
14.9003
