Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version
1787.9
1786.15
1787.14
1787.02
1785.76
1786.49
1787.25
1786.6
1787.58
1785.97
