Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.68381
8.68966
8.75926
8.72506
8.69946
8.64227
8.70122
8.69021
8.70416
8.72166
