Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
20.7927
20.7074
20.7608
20.672
20.7057
20.7708
20.7308
20.6839
20.7206
20.7236
