Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.735
95.3363
95.645
95.7754
95.7901
95.8644
95.8238
95.8867
95.7795
95.8689
