Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1095.81
1097.69
1096.82
1098.43
1097.85
1098.14
1098.33
1097.27
1098.52
1098.34
