Banded explicit Shared Memory (rows_per_SM pow2),41-44,3d_27pt,128,128,128,55742968,SPMV,align number of rows per SM with the number of threads per block
3.27549
3.21229
3.2
3.21229
3.2
3.20307
3.20307
3.19386
3.2041
3.20307
