Banded explicit Shared Memory (rows_per_SM pow2),41-44,3d_27pt,16,16,16,97336,SPMV,align number of rows per SM with the number of threads per block
0.12912
0.12496
0.126976
0.126848
0.124928
0.123904
0.124864
0.123008
0.124032
0.123904
