Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 91
12.0753
12.0689
12.0586
12.0566
12.0463
12.0576
12.0535
12.0586
12.0545
12.0535
