Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 26
10.0127
10.0125
9.97037
9.99398
9.98992
9.96432
10.003
10.0139
9.95904
9.98042
