Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 177
86.287
86.1
86.0959
86.1
86.0887
86.0979
86.0969
86.101
86.1092
86.0969
