Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 26
1.68029
1.67322
1.68346
1.68346
1.67424
1.67322
1.67731
1.67936
1.67014
1.68448
