Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 177
16126.9
16127.1
16127.1
16127.1
16126.8
16127
16126.9
16126.6
16127.1
16127.1
