Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 48
26.2202
26.1886
26.1878
26.2296
26.2415
26.2221
26.2626
26.2575
26.2525
26.2845
