Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.70437
402.93
402.663
402.579
402.632
402.625
402.609
402.576
402.641
402.607
402.635
