Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.131496
8.29024
8.24301
8.2313
8.23155
8.27206
8.27779
8.24349
8.25926
8.2585
8.26998
