Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
5.03891
5.04832
5.01453
5.02067
5.05139
5.04525
5.02477
5.0176
5.03091
5.03501
