Striped Box coloring (COR stored on GPU) (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 174
1999.23
1999.6
1999.69
1999.77
1999.84
1999.68
1999.39
1999.59
2000
1999.98
